INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2011-04-01T09:00:00-00:00,2011-04-01T10:00:00-00:00,ALL,2011-04-01,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"19748,16",1
2011-04-02T02:00:00-00:00,2011-04-02T03:00:00-00:00,ALL,2011-04-01,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29167,9",1
2011-04-01T12:00:00-00:00,2011-04-01T13:00:00-00:00,ALL,2011-04-01,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21407,32",1
2011-04-01T11:00:00-00:00,2011-04-01T12:00:00-00:00,ALL,2011-04-01,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20034,97",1
2011-04-01T08:00:00-00:00,2011-04-01T09:00:00-00:00,ALL,2011-04-01,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20317,16",1
2011-04-02T01:00:00-00:00,2011-04-02T02:00:00-00:00,ALL,2011-04-01,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"28442,24",1
2011-04-01T23:00:00-00:00,2011-04-02T00:00:00-00:00,ALL,2011-04-01,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29326,05",1
2011-04-01T17:00:00-00:00,2011-04-01T18:00:00-00:00,ALL,2011-04-01,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27844,17",1
2011-04-01T13:00:00-00:00,2011-04-01T14:00:00-00:00,ALL,2011-04-01,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23783,28",1
2011-04-01T20:00:00-00:00,2011-04-01T21:00:00-00:00,ALL,2011-04-01,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29143,35",1
