Column 1,onwind,solar,state_id_fips,utc_datetime,Year,demand_mwh,scaled_demand_mwh
2011-01-01T00:00:00,0.135,0.247,6,20110101T00,2011,47128.8,30372.7
2011-01-01T01:00:00,0.15,0,6,20110101T01,2011,52522.3,33848.6
2011-01-01T02:00:00,0.164,0,6,20110101T02,2011,52212,33648.7
2011-01-01T03:00:00,0.171,0,6,20110101T03,2011,50350,32448.7
2011-01-01T04:00:00,0.175,0,6,20110101T04,2011,48459,31230
2011-01-01T05:00:00,0.185,0,6,20110101T05,2011,46464.5,29944.7
2011-01-01T06:00:00,0.192,0,6,20110101T06,2011,44466.3,28656.9
2011-01-01T07:00:00,0.197,0,6,20110101T07,2011,41977.4,27121.3
2011-01-01T08:00:00,0.204,0,6,20110101T08,2011,30949.7,26412.6
2011-01-01T09:00:00,0.21,0,6,20110101T09,2011,29583.3,25246.5
2011-01-01T10:00:00,0.204,0,6,20110101T10,2011,28544.5,24360
2011-01-01T11:00:00,0.209,0,6,20110101T11,2011,27928.3,23834.1
2011-01-01T12:00:00,0.212,0,6,20110101T12,2011,27701.9,23641
2011-01-01T13:00:00,0.214,0,6,20110101T13,2011,27832.5,23752.4
2011-01-01T14:00:00,0.222,0,6,20110101T14,2011,28459.4,24287.4
2011-01-01T15:00:00,0.229,0,6,20110101T15,2011,28792.6,24571.8
2011-01-01T16:00:00,0.234,0.047,6,20110101T16,2011,29748.1,25387.2
2011-01-01T17:00:00,0.236,0.176,6,20110101T17,2011,30704.2,26203.1
2011-01-01T18:00:00,0.232,0.301,6,20110101T18,2011,31556.8,26930.7
2011-01-01T19:00:00,0.224,0.377,6,20110101T19,2011,31779.9,27121.1
2011-01-01T20:00:00,0.223,0.433,6,20110101T20,2011,31692.9,27046.8
2011-01-01T21:00:00,0.222,0.433,6,20110101T21,2011,31397.5,26794.8
2011-01-01T22:00:00,0.231,0.366,6,20110101T22,2011,31039.4,26489.2
2011-01-01T23:00:00,0.234,0.274,6,20110101T23,2011,31010,26464.1
2011-01-02T00:00:00,0.237,0.163,6,20110102T00,2011,32337.5,27596.9
2011-01-02T01:00:00,0.241,0,6,20110102T01,2011,36496.2,31146
2011-01-02T02:00:00,0.242,0,6,20110102T02,2011,37228.6,31771
2011-01-02T03:00:00,0.25,0,6,20110102T03,2011,36770.2,31379.8
2011-01-02T04:00:00,0.266,0,6,20110102T04,2011,36027.7,30746.2
2011-01-02T05:00:00,0.276,0,6,20110102T05,2011,34838.2,29731.1
2011-01-02T06:00:00,0.286,0,6,20110102T06,2011,33012.8,28173.2
2011-01-02T07:00:00,0.293,0,6,20110102T07,2011,30808,26291.7
2011-01-02T08:00:00,0.292,0,6,20110102T08,2011,28866.2,24634.6
2011-01-02T09:00:00,0.292,0,6,20110102T09,2011,27513.2,23479.9
2011-01-02T10:00:00,0.268,0,6,20110102T10,2011,27031.2,23068.5
2011-01-02T11:00:00,0.276,0,6,20110102T11,2011,26783.2,22856.9
2011-01-02T12:00:00,0.279,0,6,20110102T12,2011,26861.4,22923.7
2011-01-02T13:00:00,0.277,0,6,20110102T13,2011,27399.9,23383.2
2011-01-02T14:00:00,0.268,0,6,20110102T14,2011,28406.4,24242.1
2011-01-02T15:00:00,0.257,0,6,20110102T15,2011,29134.4,24863.4
2011-01-02T16:00:00,0.241,0.033,6,20110102T16,2011,30592.7,26108
2011-01-02T17:00:00,0.217,0.133,6,20110102T17,2011,31959.2,27274.1
2011-01-02T18:00:00,0.196,0.234,6,20110102T18,2011,32932.7,28104.9
2011-01-02T19:00:00,0.17,0.314,6,20110102T19,2011,33167,28304.9
2011-01-02T20:00:00,0.136,0.326,6,20110102T20,2011,33219.2,28349.4
2011-01-02T21:00:00,0.113,0.304,6,20110102T21,2011,33281.3,28402.4
2011-01-02T22:00:00,0.096,0.29,6,20110102T22,2011,33428,28527.6
2011-01-02T23:00:00,0.098,0.237,6,20110102T23,2011,33903.7,28933.5
2011-01-03T00:00:00,0.093,0.153,6,20110103T00,2011,35481.7,30280.3
2011-01-03T01:00:00,0.092,0,6,20110103T01,2011,38975.6,33262
2011-01-03T02:00:00,0.082,0,6,20110103T02,2011,39529,33734.2
2011-01-03T03:00:00,0.072,0,6,20110103T03,2011,38967.9,33255.4
2011-01-03T04:00:00,0.063,0,6,20110103T04,2011,37825.8,32280.7
2011-01-03T05:00:00,0.063,0,6,20110103T05,2011,35951,30680.7
2011-01-03T06:00:00,0.054,0,6,20110103T06,2011,33498.2,28587.5
2011-01-03T07:00:00,0.044,0,6,20110103T07,2011,30687.1,26188.5
2011-01-03T08:00:00,0.038,0,6,20110103T08,2011,28669.4,24466.6
2011-01-03T09:00:00,0.034,0,6,20110103T09,2011,27792.4,23718.1
2011-01-03T10:00:00,0.038,0,6,20110103T10,2011,27185.5,23200.2
2011-01-03T11:00:00,0.033,0,6,20110103T11,2011,27065.8,23098
2011-01-03T12:00:00,0.032,0,6,20110103T12,2011,27796.8,23721.9
2011-01-03T13:00:00,0.031,0,6,20110103T13,2011,29819.8,25448.3
2011-01-03T14:00:00,0.03,0,6,20110103T14,2011,32812.1,28002
2011-01-03T15:00:00,0.03,0,6,20110103T15,2011,35049.2,29911.2
2011-01-03T16:00:00,0.029,0.035,6,20110103T16,2011,36147.2,30848.2
2011-01-03T17:00:00,0.023,0.194,6,20110103T17,2011,36895.1,31486.5
2011-01-03T18:00:00,0.018,0.38,6,20110103T18,2011,37452.7,31962.3
2011-01-03T19:00:00,0.019,0.503,6,20110103T19,2011,37373.4,31894.6
2011-01-03T20:00:00,0.019,0.582,6,20110103T20,2011,36957.4,31539.6
2011-01-03T21:00:00,0.019,0.575,6,20110103T21,2011,36489.3,31140.1
2011-01-03T22:00:00,0.017,0.53,6,20110103T22,2011,35953.5,30682.9
2011-01-03T23:00:00,0.017,0.436,6,20110103T23,2011,35742.4,30502.7
2011-01-04T00:00:00,0.017,0.34,6,20110104T00,2011,36619.1,31250.9
2011-01-04T01:00:00,0.022,0,6,20110104T01,2011,40997.7,34987.6
2011-01-04T02:00:00,0.026,0,6,20110104T02,2011,41691.2,35579.5
2011-01-04T03:00:00,0.029,0,6,20110104T03,2011,41069.1,35048.6
2011-01-04T04:00:00,0.033,0,6,20110104T04,2011,39881.6,34035.1
2011-01-04T05:00:00,0.033,0,6,20110104T05,2011,37558,32052.2
2011-01-04T06:00:00,0.03,0,6,20110104T06,2011,34645.2,29566.4
2011-01-04T07:00:00,0.027,0,6,20110104T07,2011,31789,27128.9
2011-01-04T08:00:00,0.026,0,6,20110104T08,2011,29651.9,25305.1
2011-01-04T09:00:00,0.026,0,6,20110104T09,2011,28442.4,24272.9
2011-01-04T10:00:00,0.038,0,6,20110104T10,2011,27821.5,23743
2011-01-04T11:00:00,0.041,0,6,20110104T11,2011,27805.6,23729.4
2011-01-04T12:00:00,0.041,0,6,20110104T12,2011,28685.4,24480.2
2011-01-04T13:00:00,0.04,0,6,20110104T13,2011,30909.2,26378.1
2011-01-04T14:00:00,0.041,0,6,20110104T14,2011,34323.8,29292.1
2011-01-04T15:00:00,0.041,0,6,20110104T15,2011,36719,31336.2
