Column 1,onwind,solar,state_id_fips,utc_datetime,demand_mwh,scaled_demand_mwh
2011/01/01 00:00:00,0.46,0,8,20110101T00,8329.4,7971.7
2011/01/01 01:00:00,0.43,0,8,20110101T01,8249.3,7894.9
2011/01/01 02:00:00,0.406,0,8,20110101T02,7971.8,7629.4
2011/01/01 03:00:00,0.38,0,8,20110101T03,7733.7,7401.5
2011/01/01 04:00:00,0.357,0,8,20110101T04,7460.6,7140.2
2011/01/01 05:00:00,0.337,0,8,20110101T05,7136.6,6830
2011/01/01 06:00:00,0.324,0,8,20110101T06,6902.5,6598.8
2011/01/01 07:00:00,0.321,0,8,20110101T07,7777.1,6482.4
2011/01/01 08:00:00,0.315,0,8,20110101T08,7571.4,6311
2011/01/01 09:00:00,0.309,0,8,20110101T09,7413.1,6179
2011/01/01 10:00:00,0.292,0,8,20110101T10,7320.7,6102
2011/01/01 11:00:00,0.249,0,8,20110101T11,7342,6119.8
2011/01/01 12:00:00,0.211,0,8,20110101T12,7417.4,6182.6
2011/01/01 13:00:00,0.197,0,8,20110101T13,7422,6186.5
2011/01/01 14:00:00,0.195,0,8,20110101T14,7430.9,6193.8
2011/01/01 15:00:00,0.209,0.042,8,20110101T15,7568.5,6308.5
2011/01/01 16:00:00,0.209,0.296,8,20110101T16,7775.3,6480.9
2011/01/01 17:00:00,0.175,0.526,8,20110101T17,7897.1,6582.5
2011/01/01 18:00:00,0.145,0.683,8,20110101T18,7913.5,6596.2
2011/01/01 19:00:00,0.135,0.749,8,20110101T19,7828.7,6525.5
2011/01/01 20:00:00,0.122,0.746,8,20110101T20,7715,6430.7
2011/01/01 21:00:00,0.113,0.698,8,20110101T21,7624.7,6355.4
2011/01/01 22:00:00,0.082,0.607,8,20110101T22,7679.4,6401
2011/01/01 23:00:00,0.094,0.485,8,20110101T23,8104.4,6755.3
2011/01/02 00:00:00,0.101,0.001,8,20110102T00,8962.4,7470.4
2011/01/02 01:00:00,0.105,0,8,20110102T01,9024.3,7522
2011/01/02 02:00:00,0.116,0,8,20110102T02,8896.8,7415.8
2011/01/02 03:00:00,0.133,0,8,20110102T03,8756.9,7299.1
2011/01/02 04:00:00,0.161,0,8,20110102T04,8485.6,7073
2011/01/02 05:00:00,0.19,0,8,20110102T05,8055.5,6714.5
2011/01/02 06:00:00,0.217,0,8,20110102T06,7681.2,6402.5
2011/01/02 07:00:00,0.256,0,8,20110102T07,7358.4,6133.5
2011/01/02 08:00:00,0.313,0,8,20110102T08,7278,6066.4
2011/01/02 09:00:00,0.375,0,8,20110102T09,7187.9,5991.3
2011/01/02 10:00:00,0.378,0,8,20110102T10,7174.7,5980.3
2011/01/02 11:00:00,0.382,0,8,20110102T11,7180.5,5985.2
2011/01/02 12:00:00,0.394,0,8,20110102T12,7173.5,5979.4
2011/01/02 13:00:00,0.418,0,8,20110102T13,7361,6135.6
2011/01/02 14:00:00,0.408,0,8,20110102T14,7469.1,6225.7
2011/01/02 15:00:00,0.384,0.044,8,20110102T15,7680,6401.5
2011/01/02 16:00:00,0.343,0.309,8,20110102T16,7798.1,6500
2011/01/02 17:00:00,0.287,0.547,8,20110102T17,7795.8,6498
2011/01/02 18:00:00,0.228,0.693,8,20110102T18,7785.2,6489.2
2011/01/02 19:00:00,0.177,0.773,8,20110102T19,7698.4,6416.9
2011/01/02 20:00:00,0.135,0.79,8,20110102T20,7524.4,6271.8
2011/01/02 21:00:00,0.109,0.739,8,20110102T21,7434.4,6196.8
2011/01/02 22:00:00,0.066,0.63,8,20110102T22,7448.3,6208.4
2011/01/02 23:00:00,0.087,0.477,8,20110102T23,7867.7,6558
2011/01/03 00:00:00,0.101,0.001,8,20110103T00,8757,7299.2
2011/01/03 01:00:00,0.109,0,8,20110103T01,8884.7,7405.7
2011/01/03 02:00:00,0.107,0,8,20110103T02,8768.6,7308.9
2011/01/03 03:00:00,0.104,0,8,20110103T03,8566.2,7140.2
2011/01/03 04:00:00,0.105,0,8,20110103T04,8188.9,6825.7
2011/01/03 05:00:00,0.112,0,8,20110103T05,7586.5,6323.6
2011/01/03 06:00:00,0.113,0,8,20110103T06,7238.6,6033.6
2011/01/03 07:00:00,0.103,0,8,20110103T07,6929.2,5775.7
2011/01/03 08:00:00,0.093,0,8,20110103T08,6838.2,5699.8
2011/01/03 09:00:00,0.089,0,8,20110103T09,6839.8,5701.2
2011/01/03 10:00:00,0.107,0,8,20110103T10,6899.3,5750.8
2011/01/03 11:00:00,0.107,0,8,20110103T11,7017,5848.9
2011/01/03 12:00:00,0.116,0,8,20110103T12,7329.1,6109
2011/01/03 13:00:00,0.131,0,8,20110103T13,7818.6,6517
2011/01/03 14:00:00,0.144,0,8,20110103T14,8138,6783.3
2011/01/03 15:00:00,0.15,0.033,8,20110103T15,8188.7,6825.5
2011/01/03 16:00:00,0.123,0.273,8,20110103T16,8223.6,6854.6
2011/01/03 17:00:00,0.09,0.501,8,20110103T17,8211.1,6844.2
2011/01/03 18:00:00,0.082,0.666,8,20110103T18,8164.8,6805.6
2011/01/03 19:00:00,0.102,0.733,8,20110103T19,8074.6,6730.5
2011/01/03 20:00:00,0.122,0.752,8,20110103T20,8005.5,6672.8
2011/01/03 21:00:00,0.142,0.706,8,20110103T21,7909.4,6592.7
2011/01/03 22:00:00,0.193,0.62,8,20110103T22,7977,6649.1
2011/01/03 23:00:00,0.201,0.495,8,20110103T23,8340.6,6952.1
2011/01/04 00:00:00,0.204,0.004,8,20110104T00,9178.7,7650.7
2011/01/04 01:00:00,0.158,0,8,20110104T01,9257.7,7716.6
2011/01/04 02:00:00,0.105,0,8,20110104T02,9093.2,7579.4
2011/01/04 03:00:00,0.076,0,8,20110104T03,8911.9,7428.3
2011/01/04 04:00:00,0.062,0,8,20110104T04,8474.9,7064.1
2011/01/04 05:00:00,0.073,0,8,20110104T05,7824.5,6522
2011/01/04 06:00:00,0.102,0,8,20110104T06,7411.6,6177.8
2011/01/04 07:00:00,0.132,0,8,20110104T07,7155.9,5964.6
2011/01/04 08:00:00,0.162,0,8,20110104T08,7074.9,5897.1
2011/01/04 09:00:00,0.187,0,8,20110104T09,6976.2,5814.8
2011/01/04 10:00:00,0.24,0,8,20110104T10,7043.1,5870.6
2011/01/04 11:00:00,0.247,0,8,20110104T11,7252.8,6045.4
2011/01/04 12:00:00,0.256,0,8,20110104T12,7579,6317.4
2011/01/04 13:00:00,0.261,0,8,20110104T13,8171,6810.8
2011/01/04 14:00:00,0.273,0,8,20110104T14,8403.2,7004.3
2011/01/04 15:00:00,0.266,0.04,8,20110104T15,8394.5,6997.1
2011/01/04 16:00:00,0.202,0.284,8,20110104T16,8367.3,6974.4
2011/01/04 17:00:00,0.132,0.496,8,20110104T17,8286.9,6907.4
2011/01/04 18:00:00,0.102,0.647,8,20110104T18,8176.2,6815.1
